,0
0,0
1,0
2,0
3,1
4,0
5,2
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,3
32,1
33,0
34,0
35,0
36,1
37,0
38,2
39,2
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,2
51,2
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,2
92,2
93,1
94,0
95,3
96,3
97,0
98,0
99,2
100,2
101,0
102,2
103,2
104,0
105,0
106,0
107,0
108,2
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,2
124,1
125,2
126,1
127,1
128,0
129,1
130,1
131,0
132,0
133,2
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,1
156,2
157,0
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,3
175,2
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,2
193,0
194,2
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,2
232,0
233,0
234,1
235,2
236,3
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,2
264,0
265,0
266,0
267,1
268,1
269,1
270,2
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,0
346,1
347,2
348,2
349,2
350,0
351,0
352,0
353,2
354,0
355,0
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,3
382,1
383,0
384,0
385,2
386,2
387,0
388,1
389,1
390,0
391,0
392,0
393,2
394,2
395,1
396,1
397,4
398,1
399,0
400,0
401,0
402,2
403,2
404,4
405,2
406,0
407,2
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,2
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,1
466,1
467,0
468,1
469,0
470,2
471,2
472,3
473,2
474,0
475,2
476,2
477,1
478,0
479,2
480,0
481,1
482,0
483,1
484,3
485,0
486,1
487,0
488,0
489,0
490,0
491,2
492,2
493,1
494,0
495,0
496,0
497,1
498,2
499,1
500,1
501,0
502,0
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,1
526,0
527,0
528,1
529,0
530,0
531,0
532,0
