,day,neuron name,model type,R,pDIC,DIC
0,d191220,A_place_cell,ALLO,0.944008954,31.19607786,101014.991
1,d191220,A_place_cell,EGO,0.870477859,43.20287838,102764.8587
2,d191220,ego_cell1,ALLO,0.423355436,19.64955632,3708.51187
3,d191220,ego_cell1,EGO,0.608614957,16.13100525,2030.581595
4,d191220,ego_cell2,ALLO,0.555899785,12.91773124,2599.060171
5,d191220,ego_cell2,EGO,0.620074218,16.45101245,1563.898164
6,d191220,ego_cell3,ALLO,0.462923215,20.22281526,3017.235988
7,d191220,ego_cell3,EGO,0.59722405,21.88364991,1466.573541
8,d191220,ego_cell4,ALLO,0.615831449,15.33097906,1778.348524
9,d191220,ego_cell4,EGO,0.607244848,14.76062374,1086.657946
10,d191220,ego_cell_1_2,ALLO,0.559467448,16.29859207,2507.753042
11,d191220,ego_cell_1_2,EGO,0.618844262,16.00300337,1499.738409
12,d191220,HD_place_cell,ALLO,0.902578839,25.26619387,53813.99709
13,d191220,HD_place_cell,EGO,0.828875217,36.50048022,57286.14506
14,d191220,HD_place_cell_pos1,ALLO,0.972769915,24.29855593,83809.0672
15,d191220,HD_place_cell_pos1,EGO,0.693783546,41.41645474,89513.24212
16,d191220,"pairwise_distance1,2_cell",ALLO,0.609052268,26.70425604,41315.75415
17,d191220,"pairwise_distance1,2_cell",EGO,0.642433392,38.23989779,41793.68478
18,d191220,"pairwise_distance1,3_cell",ALLO,0.909545359,29.00453294,73499.62069
19,d191220,"pairwise_distance1,3_cell",EGO,0.780092519,43.78567379,81606.18541
20,d191220,"pairwise_distance1,4_cell",ALLO,0.902931286,23.5852216,44686.867
21,d191220,"pairwise_distance1,4_cell",EGO,0.746569155,41.36742858,49915.82639
22,d191220,"pairwise_distance2,3_cell",ALLO,0.739548728,22.46112738,34950.71357
23,d191220,"pairwise_distance2,3_cell",EGO,0.696951511,40.97000176,39807.71446
24,d191220,"pairwise_distance2,4_cell",ALLO,0.64332929,20.80501096,26751.65133
25,d191220,"pairwise_distance2,4_cell",EGO,0.67516502,38.38251755,27135.07934
26,d191220,"pairwise_distance3,4_cell",ALLO,0.893304291,21.98988458,28131.26435
27,d191220,"pairwise_distance3,4_cell",EGO,0.81097984,40.00195186,32489.07171
28,d191220,place_distance1_cell,ALLO,0.803490432,21.12857193,21470.49435
29,d191220,place_distance1_cell,EGO,0.92907213,31.40893426,16837.81527
30,d191220,place_distance2_cell,ALLO,0.672884512,17.74510189,9054.541705
31,d191220,place_distance2_cell,EGO,0.816304145,26.61805986,5987.121163
32,d191220,place_distance3_cell,ALLO,0.686159595,17.14938351,12319.50177
33,d191220,place_distance3_cell,EGO,0.868741476,25.03080598,9297.476288
34,d191220,place_distance4_cell,ALLO,0.540249594,14.53863356,4189.917949
35,d191220,place_distance4_cell,EGO,0.809320575,17.90705014,2959.643888
36,d191220,randomly_firing_cell,ALLO,0.220541111,26.81005047,124160.1641
37,d191220,randomly_firing_cell,EGO,0.250185998,46.56337584,124174.3851
38,d191221,A_place_cell,ALLO,0.956680995,23.52274172,128597.2707
39,d191221,A_place_cell,EGO,0.832814331,47.95792894,131779.7752
40,d191221,ego_cell1,ALLO,0.779187151,17.44088153,1814.272632
41,d191221,ego_cell1,EGO,0.755003811,15.52047652,1156.825487
42,d191221,ego_cell2,ALLO,0.869585342,14.58647583,4302.14785
43,d191221,ego_cell2,EGO,0.911954899,19.55126458,2661.685967
